Language family,ISO language name,Native name (endonym),639-1,639-2/T,639-2/T uppercase,639-2/B,639-2/B uppercase
Northwest Caucasian,Abkhazian,"аҧсуа бызшәа, аҧсшәа",ab,abk,ABK,abk,ABK
Afro-Asiatic,Afar,Afaraf,aa,aar,AAR,aar,AAR
Indo-European,Afrikaans,Afrikaans,af,afr,AFR,afr,AFR
Niger–Congo,Akan,Akan,ak,aka,AKA,aka,AKA
Indo-European,Albanian,Shqip,sq,sqi,SQI,alb,ALB
Afro-Asiatic,Amharic,አማርኛ,am,amh,AMH,amh,AMH
Afro-Asiatic,Arabic,العربية,ar,ara,ARA,ara,ARA
Indo-European,Aragonese,aragonés,an,arg,ARG,arg,ARG
Indo-European,Armenian,Հայերեն,hy,hye,HYE,arm,ARM
Indo-European,Assamese,অসমীয়া,as,asm,ASM,asm,ASM
Northeast Caucasian,Avaric,"авар мацӀ, магӀарул мацӀ",av,ava,AVA,ava,AVA
Indo-European,Avestan,avesta,ae,ave,AVE,ave,AVE
Aymaran,Aymara,aymar aru,ay,aym,AYM,aym,AYM
Turkic,Azerbaijani,azərbaycan dili,az,aze,AZE,aze,AZE
Niger–Congo,Bambara,bamanankan,bm,bam,BAM,bam,BAM
Turkic,Bashkir,башҡорт теле,ba,bak,BAK,bak,BAK
Language isolate,Basque,"euskara, euskera",eu,eus,EUS,baq,BAQ
Indo-European,Belarusian,беларуская мова,be,bel,BEL,bel,BEL
Indo-European,Bengali,বাংলা,bn,ben,BEN,ben,BEN
Indo-European,Bihari languages,भोजपुरी,bh,bih,BIH,bih,BIH
Creole,Bislama,Bislama,bi,bis,BIS,bis,BIS
Indo-European,Bosnian,bosanski jezik,bs,bos,BOS,bos,BOS
Indo-European,Breton,brezhoneg,br,bre,BRE,bre,BRE
Indo-European,Bulgarian,български език,bg,bul,BUL,bul,BUL
Sino-Tibetan,Burmese,ဗမာစာ,my,mya,MYA,bur,BUR
Indo-European,"Catalan, Valencian","català, valencià",ca,cat,CAT,cat,CAT
Austronesian,Chamorro,Chamoru,ch,cha,CHA,cha,CHA
Northeast Caucasian,Chechen,нохчийн мотт,ce,che,CHE,che,CHE
Niger–Congo,"Chichewa, Chewa, Nyanja","chiCheŵa, chinyanja",ny,nya,NYA,nya,NYA
Sino-Tibetan,Chinese,"中文 (Zhōngwén), 汉语, 漢語",zh,zho,ZHO,chi,CHI
Turkic,Chuvash,чӑваш чӗлхи,cv,chv,CHV,chv,CHV
Indo-European,Cornish,Kernewek,kw,cor,COR,cor,COR
Indo-European,Corsican,"corsu, lingua corsa",co,cos,COS,cos,COS
